title,category,genre,year,direct,actors,content
터보,애니메이션,드라마,2013,데이빗 소렌,"대런 렘케,로버트 D. 시겔,데이빗 소렌","꿈,달팽이,카레이싱,경주"
초(민망한)능력자들,극영화,코메디,2009,그랜트 헤스로브,피터 스트라우간,"특종,기자,육군,초능력,염소,동행취재"
흑사회 2,극영화,"범죄,액션",2006,두기봉,"유내해,엽천성","암흑가,차기회장,보스,선거,홍콩"
엽기적인 그녀 2,극영화,"로맨스,코메디",2010,마위호,,"실연,여행,자살시도,동병상련,인연"
매직 마이크,극영화,코메디,2012,스티븐 소더버그,레이드 캐롤린 ,"무대,스트리퍼,퍼포먼스,해변,멘토,남성스트리퍼,스트립쇼"
링컨 : 뱀파이어 헌터,극영화,"스릴러,액션,공포",2012,티무르 베크맘베토브,"세스 그레이엄-스미스 ,사이먼 킨버그","링컨,대통령,뱀파이어,일기장"
제이니 존스,극영화,드라마,2010,데이빗 M. 로젠탈,데이빗 M. 로젠탈,"록밴드,아빠와딸,재능,공연"
위대한 여행 ,극영화,드라마,2004,이즈마엘 페루키,이즈마엘 페루키,"이슬람,성지순례,고행,아버지와아들"
조이풀 노이즈 ,극영화,코메디,2012,토드 그라프,토드 그라프,"성가대,불협화음,뮤지컬,전국대회"
픽포켓,극영화,"범죄,코메디,액션",2011,마이클 코렌트,피터 파시넬리,"소매치기,한방,다이아몬드,인생역전,원나잇스탠드"
베이트,극영화,"스릴러,액션,공포",2012,킴블 렌달,"러셀 멀케이,존 킴","폐허,공포,생존,쓰나미,미끼"
일대종사,극영화,드라마,2012,왕가위,"왕가위,추정지","쿵푸,무술,두여자,무협,운명"
슈퍼윙스 3D,애니메이션,"어드벤처,코메디",2012,올가 로패토,티무어 체리코브,"비행기,챔피언,에어쇼,대회,훈련"
마법소녀 마도카 마기카(전편): 시작의 이야기,애니메이션,"드라마,판타지",2012,신보 아키유키 ,우로부치 겐,"소녀,마법,마녀,TV시리즈"
마법소녀 마도카 마기카(후편): 영원의 이야기,애니메이션,"드라마,판타지",2012,신보 아키유키 ,우로부치 겐,"마법소녀,진실,마녀,소원,애니메이션"
넥스트 투모로우,극영화,액션,2011,트레비스 포트,폴 사이노어,"재난영화,빙산,기후학자,미국"
브랜디드,극영화,"드라마,판타지,액션",2012,"제이미 브랜드쇼,알렉산드르 듀러레인","알렉산드르 듀러레인,제이미 브랜드쇼","마케팅,홍보,브랜드,특별한 능력"
스톨른,극영화,"범죄,스릴러,액션",2012,사이먼 웨스트,데이비드 구겐하임,"강도,추격,출감,납치"
워 오브 투모로우,극영화,"드라마,어드벤처,로맨스,액션",2010,스튜어트 베티,스튜어트 베티,"계곡,캠핑,침공,친구,군대"
